iter	Passed	Remaining
0	1	111
1	1	97
2	2	87
3	3	81
4	4	78
5	4	75
6	5	73
7	8	94
8	9	92
9	10	91
10	11	89
11	11	85
12	12	83
13	13	82
14	14	80
15	14	78
16	15	77
17	16	75
18	17	73
19	17	71
20	18	69
21	19	68
22	20	67
23	21	67
24	22	67
25	23	66
26	24	65
27	25	64
28	26	63
29	26	62
30	27	61
31	28	60
32	29	59
33	29	58
34	31	57
35	32	57
36	34	58
37	35	58
38	37	57
39	38	57
40	39	56
41	40	55
42	40	54
43	41	52
44	42	51
45	43	50
46	44	49
47	45	48
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	52	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	57	35
62	58	34
63	59	33
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	66	27
71	67	26
72	68	25
73	68	24
74	69	23
75	70	22
76	71	21
77	71	20
78	72	19
79	72	18
80	73	17
81	74	16
82	75	15
83	76	14
84	77	13
85	77	12
86	78	11
87	79	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	84	4
95	85	3
96	86	2
97	88	1
98	89	0
99	90	0
