iter	Passed	Remaining
0	11	11221
1	12	6057
2	13	4419
3	14	3499
4	14	2936
5	15	2564
6	16	2293
7	16	2090
8	17	1935
9	18	1867
10	19	1770
11	20	1693
12	21	1633
13	22	1571
14	23	1512
15	23	1472
16	24	1425
17	25	1381
18	26	1346
19	26	1310
20	27	1281
21	28	1253
22	28	1225
23	29	1200
24	30	1176
25	30	1152
26	31	1137
27	32	1123
28	33	1111
29	34	1103
30	34	1088
31	35	1076
32	36	1061
33	36	1048
34	37	1046
35	38	1039
36	39	1034
37	40	1023
38	41	1012
39	41	1002
40	42	992
41	43	983
42	43	974
43	44	964
44	45	973
45	46	973
46	47	970
47	48	966
48	49	959
49	50	953
50	51	952
51	51	947
52	52	942
53	53	936
54	54	931
55	54	926
56	55	920
57	56	914
58	56	908
59	57	901
60	58	901
61	59	901
62	60	901
63	61	896
64	62	891
65	62	888
66	64	892
67	64	889
68	65	888
69	66	884
70	67	884
71	68	882
72	69	879
73	70	879
74	71	876
75	72	877
76	73	875
77	74	875
78	74	872
79	75	868
80	76	872
81	77	869
82	78	862
83	78	860
84	79	856
85	80	854
86	81	851
87	81	848
88	82	846
89	83	844
90	84	841
91	85	844
92	86	843
93	87	843
94	88	840
95	88	837
96	89	833
97	90	830
98	90	826
99	91	824
100	92	822
101	93	819
102	93	815
103	94	812
104	94	809
105	95	807
106	96	804
107	97	802
108	97	800
109	98	800
110	99	799
111	100	796
112	101	794
113	101	792
114	102	790
115	103	789
116	104	786
117	105	785
118	105	783
119	106	780
120	107	778
121	107	776
122	108	774
123	109	772
124	109	769
125	110	767
126	111	764
127	112	765
128	113	766
129	114	764
130	114	762
131	115	760
132	116	757
133	116	755
134	117	754
135	118	752
136	119	750
137	119	749
138	120	747
139	121	746
140	122	743
141	122	740
142	123	738
143	123	736
144	124	734
145	125	733
146	126	732
147	126	730
148	127	729
149	128	727
150	129	726
151	129	724
152	130	723
153	131	723
154	132	722
155	133	720
156	133	718
157	134	716
158	135	714
159	135	712
160	136	709
161	136	706
162	137	704
163	137	702
164	138	700
165	139	699
166	140	698
167	140	696
168	141	694
169	141	692
170	142	690
171	143	688
172	143	687
173	144	686
174	145	685
175	146	684
176	146	682
177	147	681
178	148	679
179	148	678
180	149	677
181	150	675
182	150	673
183	151	672
184	153	674
185	153	673
186	154	672
187	155	670
188	155	669
189	156	668
190	157	666
191	158	665
192	158	664
193	159	663
194	160	662
195	161	660
196	161	659
197	162	658
198	163	656
199	163	655
200	164	653
201	165	652
202	166	655
203	167	654
204	168	653
205	169	652
206	169	650
207	170	649
208	171	648
209	172	647
210	172	646
211	173	645
212	174	644
213	175	642
214	175	641
215	176	639
216	176	638
217	177	637
218	178	635
219	179	636
220	180	636
221	181	635
222	182	634
223	182	633
224	183	631
225	184	631
226	185	630
227	185	629
228	186	627
229	187	626
230	187	625
231	188	623
232	189	622
233	189	621
234	190	619
235	191	618
236	191	617
237	192	616
238	193	615
239	194	615
240	195	614
241	195	613
242	196	611
243	196	610
244	197	608
245	198	607
246	198	605
247	199	605
248	200	604
249	201	603
250	201	601
251	202	600
252	203	599
253	203	598
254	204	596
255	204	595
256	206	596
257	207	596
258	208	595
259	208	594
260	209	592
261	210	591
262	210	590
263	211	589
264	211	587
265	212	586
266	213	585
267	213	584
268	214	583
269	215	582
270	215	580
271	216	579
272	217	578
273	217	577
274	218	575
275	219	575
276	220	575
277	221	574
278	221	573
279	222	572
280	223	572
281	225	572
282	226	573
283	226	572
284	227	571
285	228	570
286	229	569
287	229	568
288	230	567
289	231	566
290	232	565
291	234	567
292	235	567
293	236	567
294	237	566
295	238	566
296	239	567
297	240	566
298	241	566
299	242	565
300	243	564
301	243	563
302	244	561
303	245	561
304	245	559
305	246	560
306	247	559
307	248	558
308	249	557
309	250	556
310	250	555
311	251	554
312	252	554
313	253	553
314	254	552
315	254	551
316	255	550
317	256	549
318	256	548
319	257	547
320	258	546
321	259	545
322	260	545
323	260	544
324	261	543
325	262	542
326	263	541
327	263	540
328	264	539
329	265	538
330	265	537
331	266	536
332	267	535
333	267	533
334	268	532
335	269	531
336	269	530
337	270	530
338	271	529
339	272	528
340	272	527
341	273	526
342	274	525
343	274	524
344	275	523
345	276	522
346	276	520
347	277	519
348	277	518
349	278	517
350	279	517
351	280	516
